"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"2";"aannemers van publieke werken";"https://iisg.amsterdam/resource/hisco/code/hisco/21240";"Contractor";"Contracts on predetermined terms to provide labour and materials and to be responsible for the completion of a job or project in accordance with established specifications or plans."
"3";"aanplakkers";"https://iisg.amsterdam/resource/hisco/code/hisco/59990";"Other Service Workers Not Elsewhere Classified";"This group includes service workers not elsewhere classified, for example those who assist persons at doors of shops, hotels and other establishments; carry hotel guests baggage and run errands for them; take charge of hats and coats in public places; operate passenger lifts; receive patrons at places of entertainment, sporting and other events and conduct them to their seats; cleans and services lavatories and rest rooms; receive check and maintain stock of alcoholic and other beverages in good condition in cellar of licensed establishment; serve as escorts to men and women; dance with partners for a prescribed fee; act as hostesses in bars and other places; pose for paintings, sculptures and other types of art; assist players of games by performing non-playing activities such as carrying golf clubs, setting up pins (skittles) and retrieving balls; paste advertising posters and notices on walls and billboards; exterminate vermin; operate roundabouts and other fairground equipment; collect, care for and feed lost or strayed dogs and other animals."
"4";"aansprakelijkheidsverzekeringen";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"5";"aansprekers";"https://iisg.amsterdam/resource/hisco/code/hisco/59220";"Undertaker";"Makes arrangements for and conducts funerals."
"6";"aardappelen (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"7";"aardewerk (in delftsch)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"8";"accountants";"https://iisg.amsterdam/resource/hisco/code/hisco/11010";"Accountant, General";"Plans and administers accounting services and advises on accountancy problems of private persons, enterprises, institutions and governmental organisations."
"9";"mr. adverteerder";"https://iisg.amsterdam/resource/hisco/code/hisco/44230";"Advertising Salesman";"Sells advertising space in press and periodicals, on poster boards and elsewhere and advertising time on radio and television programmes."
"10";"advertentiën-bureaux";"https://iisg.amsterdam/resource/hisco/code/hisco/44230";"Advertising Salesman";"Sells advertising space in press and periodicals, on poster boards and elsewhere and advertising time on radio and television programmes."
"11";"advocaten";"https://iisg.amsterdam/resource/hisco/code/hisco/12110";"Lawyer";"Prepares and pleads cases and conducts prosecutions in courts of justice."
"12";"advocaten en procureurs";"https://iisg.amsterdam/resource/hisco/code/hisco/12110";"Lawyer";"Prepares and pleads cases and conducts prosecutions in courts of justice."
"13";"afbraak (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/95945";"Demolition Worker";"Demolishes buildings with picks, crowbars, pneumatic hammers and other tools and salvages usable materials such as bricks, structural steel and timber."
"14";"affineerfabrieken";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"15";"agenten van binnen- en buitenlandsche huizen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"16";"antiquiteiten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"17";"apoth.-behoeften en chirurg. instrumenten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"18";"apothekers en chemisten";"https://iisg.amsterdam/resource/hisco/code/hisco/06710";"Pharmacist";"Makes and dispenses medicaments and related preparations according to prescriptions or formulae."
"19";"apothekers- en banketbakkersbenoodigdheden (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"20";"architecten";"https://iisg.amsterdam/resource/hisco/code/hisco/02120";"Building Architect";"Designs buildings and exercises general supervision over their construction. Building construction engineer is classified in 0-22.20."
"21";"artsen";"https://iisg.amsterdam/resource/hisco/code/hisco/06105";"General Physician";"Conducts medical examinations, makes diagnoses, prescribes medicines, and gives other forms of treatment for various kinds of diseases, disorders and injuries of the human body; applies preventive medicine techniques to prevent diseases and promote good health."
"22";"asphalt (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"23";"assuradeurs";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"24";"assurantiën (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"25";"automobielen en motorbooten (handelaren en fabrikanten)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"26";"automobiel-kleeding";"https://iisg.amsterdam/resource/hisco/code/hisco/79630";"Vehicle Upholsterer";"Fits and installs interior trim and seat cushioning and covering in vehicles, such as motor cars, railway coaches and aircraft."
"27";"azijnfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/77870";"Vinegar Maker";"Carries out all processes connected with manufacture of vinegar from malt, denatured alcohol, wine or other source."
"28";"badhuishouders";"https://iisg.amsterdam/resource/hisco/code/hisco/51090";"Other Working Proprietors (Catering, Lodging and Leisure Services)";"This group includes working proprietors of catering and lodging services not elsewhere classified, for example those who operate rooming houses which do not supply meals, cafeterias and canteens, caravan parks, golf courses, swimming pools, billiard halls, and fairground rides."
"29";"badtoestellen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"30";"balansen, bascules, maten en gewichten (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/84230";"Precision Instrument Maker";"Makes, adjusts and repairs mechanical instruments and mechanical portions of electrical and optical instruments."
"31";"balletjesmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/80310";"Leather Goods Maker, General";"Makes, by hand and machine, a variety of products consisting mainly of real or artificial leather, such as handbags, wallets, luggage, brief cases, belting, footballs and leather novelties."
"32";"bandagisten";"https://iisg.amsterdam/resource/hisco/code/hisco/75922";"Braid Maker (Hand or Machine)";"Makes braid by hand (7-59.20) or machine (7-59.25)."
"33";"banketbakkers- benoodigdheden (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"34";"bankiers";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"35";"barbiers";"https://iisg.amsterdam/resource/hisco/code/hisco/57030";"Barber Hairdresser";"Cuts hair, shaves and trims beards and performs other personal services incidental to barbering."
"36";"bedden, matrassen en dekens (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"37";"bedvederen en kapok (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"38";"beeldhouwers";"https://iisg.amsterdam/resource/hisco/code/hisco/16120";"Sculptor";"Creates three-dimensional decorative and representational forms by shaping materials such as wood, stone, clay, marble or metal."
"39";"begrafenissen (aannemers van)";"https://iisg.amsterdam/resource/hisco/code/hisco/59220";"Undertaker";"Makes arrangements for and conducts funerals."
"40";"behangers en bekleeders";"https://iisg.amsterdam/resource/hisco/code/hisco/95925";"Paperhanger";"Covers interior walls and ceilings of buildings with wallpaper."
"41";"behangersartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"42";"behangselpapier (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"43";"beschuithonig (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"44";"besteedsters";"https://iisg.amsterdam/resource/hisco/code/hisco/45230";"Canvasser";"Solicits business for an establishment, particularly from households, by going from door to door."
"45";"bierbrouwers";"https://iisg.amsterdam/resource/hisco/code/hisco/77810";"Brewer, General";"Mixes, presses, malts and ferments grains or fruits to make alcoholic or non-alchoholic beverages."
"46";"bieren, wijnen en gedistill. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
